timestamp,hour_of_day,day_of_year,month,day_of_week,is_weekend,temperature_c,humidity_pct,wind_speed_ms,solar_irradiance,solar_generation_kw,demand_mw,solar_contribution_pct
2023-01-01 00:00:00,0,1,1,6,1,4.41,85.32,3.66,0.0,0.0,9254.96,0.0
2023-01-01 01:00:00,1,1,1,6,1,2.39,81.25,4.88,0.0,0.0,9606.17,0.0
2023-01-01 02:00:00,2,1,1,6,1,1.17,65.38,2.99,0.0,0.0,9595.75,0.0
2023-01-01 03:00:00,3,1,1,6,1,2.19,80.74,7.62,0.0,0.0,9328.93,0.0
2023-01-01 04:00:00,4,1,1,6,1,4.53,90.09,10.05,0.0,0.0,9482.11,0.0
2023-01-01 05:00:00,5,1,1,6,1,2.8,83.81,7.1,0.0,0.0,9290.35,0.0
2023-01-01 06:00:00,6,1,1,6,1,4.18,82.7,5.14,0.0,0.0,9632.57,0.0
2023-01-01 07:00:00,7,1,1,6,1,1.56,76.69,4.12,118.83,1039.47,6627.63,35.0
2023-01-01 08:00:00,8,1,1,6,1,6.05,79.22,3.24,199.22,1730.645,4500.0,35.0
2023-01-01 09:00:00,9,1,1,6,1,4.81,86.79,4.97,252.9,2185.902,4500.0,35.0
2023-01-01 10:00:00,10,1,1,6,1,5.64,89.41,3.88,363.08,3161.026,4500.0,35.0
2023-01-01 11:00:00,11,1,1,6,1,9.63,70.42,6.39,398.3,3465.255,4500.0,35.0
2023-01-01 12:00:00,12,1,1,6,1,10.49,71.46,2.56,374.27,3241.487,4500.0,35.0
2023-01-01 13:00:00,13,1,1,6,1,5.52,93.04,6.51,365.87,3170.383,4500.0,35.0
2023-01-01 14:00:00,14,1,1,6,1,6.38,75.25,4.2,348.91,3031.238,4500.0,35.0
2023-01-01 15:00:00,15,1,1,6,1,5.91,81.47,4.71,268.97,2331.641,4500.0,35.0
2023-01-01 16:00:00,16,1,1,6,1,6.37,80.24,2.87,214.61,1870.501,4500.0,35.0
2023-01-01 17:00:00,17,1,1,6,1,3.6,81.81,3.23,85.44,736.262,7631.42,33.76
2023-01-01 18:00:00,18,1,1,6,1,2.06,96.32,5.38,2.07,18.092,10434.66,0.61
2023-01-01 19:00:00,19,1,1,6,1,2.67,79.86,7.78,0.0,0.0,10471.86,0.0
2023-01-01 20:00:00,20,1,1,6,1,1.39,91.93,1.07,0.0,0.0,10572.79,0.0
2023-01-01 21:00:00,21,1,1,6,1,4.57,76.41,3.28,0.0,0.0,9959.53,0.0
2023-01-01 22:00:00,22,1,1,6,1,2.24,96.17,1.41,0.0,0.0,9721.26,0.0
2023-01-01 23:00:00,23,1,1,6,1,2.96,75.21,2.82,0.0,0.0,10029.86,0.0
2023-01-02 00:00:00,0,2,1,0,0,4.48,84.84,5.35,0.0,0.0,9961.58,0.0
2023-01-02 01:00:00,1,2,1,0,0,3.22,64.04,5.16,0.0,0.0,10199.25,0.0
2023-01-02 02:00:00,2,2,1,0,0,0.79,81.14,7.73,0.0,0.0,10182.94,0.0
2023-01-02 03:00:00,3,2,1,0,0,5.75,85.88,3.8,0.0,0.0,9707.74,0.0
2023-01-02 04:00:00,4,2,1,0,0,3.18,69.51,1.2,0.0,0.0,10067.06,0.0
2023-01-02 05:00:00,5,2,1,0,0,3.21,78.49,3.7,0.0,0.0,10377.36,0.0
2023-01-02 06:00:00,6,2,1,0,0,7.1,98.0,6.61,0.0,0.0,10619.92,0.0
