timestamp,hour_of_day,day_of_year,month,day_of_week,solar_irradiance,temperature_c,humidity_pct,wind_speed_ms,cloud_cover,pressure_hpa,solar_zenith_deg,solar_azimuth_deg,power_output_kw
2023-01-01 00:00:00,0,1,1,6,0.0,4.41,85.32,3.66,0.118,1012.4,90.0,0.0,0.0
2023-01-01 01:00:00,1,1,1,6,0.0,2.39,81.25,4.88,0.169,1011.5,90.0,15.0,0.0
2023-01-01 02:00:00,2,1,1,6,0.0,1.17,65.38,2.99,0.321,1017.6,90.0,30.0,0.0
2023-01-01 03:00:00,3,1,1,6,0.0,2.19,80.74,7.62,0.295,1020.1,90.0,45.0,0.0
2023-01-01 04:00:00,4,1,1,6,0.0,4.53,90.09,10.05,0.529,1016.1,90.0,60.0,0.0
2023-01-01 05:00:00,5,1,1,6,0.0,2.8,83.81,7.1,0.385,1010.3,90.0,75.0,0.0
2023-01-01 06:00:00,6,1,1,6,0.0,4.18,82.7,5.14,0.233,996.2,90.0,90.0,0.0
2023-01-01 07:00:00,7,1,1,6,118.83,1.56,76.69,4.12,0.316,1009.2,82.48,105.0,1039.47
2023-01-01 08:00:00,8,1,1,6,199.22,6.05,79.22,3.24,0.315,1013.3,75.36,120.0,1730.645
2023-01-01 09:00:00,9,1,1,6,252.9,4.81,86.79,4.97,0.418,1027.5,69.06,135.0,2185.902
2023-01-01 10:00:00,10,1,1,6,363.08,5.64,89.41,3.88,0.276,1002.2,64.04,150.0,3161.026
2023-01-01 11:00:00,11,1,1,6,398.3,9.63,70.42,6.39,0.312,996.4,60.77,165.0,3465.255
2023-01-01 12:00:00,12,1,1,6,374.27,10.49,71.46,2.56,0.407,1017.5,59.63,180.0,3241.487
2023-01-01 13:00:00,13,1,1,6,365.87,5.52,93.04,6.51,0.389,1013.3,60.77,195.0,3170.383
2023-01-01 14:00:00,14,1,1,6,348.91,6.38,75.25,4.2,0.303,1006.2,64.04,210.0,3031.238
2023-01-01 15:00:00,15,1,1,6,268.97,5.91,81.47,4.71,0.371,1018.9,69.06,225.0,2331.641
2023-01-01 16:00:00,16,1,1,6,214.61,6.37,80.24,2.87,0.312,1003.1,75.36,240.0,1870.501
2023-01-01 17:00:00,17,1,1,6,85.44,3.6,81.81,3.23,0.386,1031.9,82.48,255.0,736.262
2023-01-01 18:00:00,18,1,1,6,2.07,2.06,96.32,5.38,0.271,1020.8,90.0,270.0,18.092
2023-01-01 19:00:00,19,1,1,6,0.0,2.67,79.86,7.78,0.341,1020.4,90.0,285.0,0.0
2023-01-01 20:00:00,20,1,1,6,0.0,1.39,91.93,1.07,0.486,1014.9,90.0,300.0,0.0
2023-01-01 21:00:00,21,1,1,6,0.0,4.57,76.41,3.28,0.32,1015.8,90.0,315.0,0.0
2023-01-01 22:00:00,22,1,1,6,0.0,2.24,96.17,1.41,0.302,1009.8,90.0,330.0,0.0
2023-01-01 23:00:00,23,1,1,6,0.0,2.96,75.21,2.82,0.358,1016.3,90.0,345.0,0.0
2023-01-02 00:00:00,0,2,1,0,0.0,4.48,84.84,5.35,0.324,1015.7,90.0,0.0,0.0
2023-01-02 01:00:00,1,2,1,0,0.0,3.22,64.04,5.16,0.418,1023.7,90.0,15.0,0.0
2023-01-02 02:00:00,2,2,1,0,0.0,0.79,81.14,7.73,0.356,1012.5,90.0,30.0,0.0
2023-01-02 03:00:00,3,2,1,0,0.0,5.75,85.88,3.8,0.451,1015.0,90.0,45.0,0.0
2023-01-02 04:00:00,4,2,1,0,0.0,3.18,69.51,1.2,0.334,1003.8,90.0,60.0,0.0
2023-01-02 05:00:00,5,2,1,0,0.0,3.21,78.49,3.7,0.352,1020.5,90.0,75.0,0.0
2023-01-02 06:00:00,6,2,1,0,0.0,7.1,98.0,6.61,0.402,1014.0,90.0,90.0,0.0
2023-01-02 07:00:00,7,2,1,0,113.12,7.52,69.59,6.11,0.357,1016.4,82.47,105.0,987.392
2023-01-02 08:00:00,8,2,1,0,170.49,6.74,83.61,5.13,0.491,1018.6,75.33,120.0,1470.4
2023-01-02 09:00:00,9,2,1,0,277.33,4.51,68.57,2.82,0.345,1016.7,69.01,135.0,2406.465
2023-01-02 10:00:00,10,2,1,0,337.63,8.84,68.74,7.32,0.373,1009.1,63.98,150.0,2929.112
2023-01-02 11:00:00,11,2,1,0,362.74,4.52,84.57,3.6,0.388,1022.5,60.71,165.0,3141.649
2023-01-02 12:00:00,12,2,1,0,365.91,7.51,77.42,1.48,0.411,1016.4,59.57,180.0,3165.516
2023-01-02 13:00:00,13,2,1,0,392.03,6.48,72.01,2.39,0.335,1012.4,60.71,195.0,3407.302
2023-01-02 14:00:00,14,2,1,0,319.34,5.72,76.54,4.22,0.393,1018.6,63.98,210.0,2763.678
2023-01-02 15:00:00,15,2,1,0,268.05,6.49,87.76,1.72,0.354,1017.0,69.01,225.0,2322.66
2023-01-02 16:00:00,16,2,1,0,194.19,6.23,77.89,2.38,0.386,1009.7,75.33,240.0,1684.545
2023-01-02 17:00:00,17,2,1,0,98.47,5.53,85.03,1.91,0.392,1021.6,82.47,255.0,852.817
2023-01-02 18:00:00,18,2,1,0,1.24,3.19,68.11,4.14,0.382,1021.5,90.0,270.0,10.658
2023-01-02 19:00:00,19,2,1,0,0.0,1.96,81.25,2.23,0.509,994.3,90.0,285.0,0.0
2023-01-02 20:00:00,20,2,1,0,0.0,2.59,80.76,4.86,0.462,1003.9,90.0,300.0,0.0
